"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 08 10:50:00 GMT 2021","Fri Oct 08 10:51:28 GMT 2021","88210","","Kijelentkezés","","Logout.LogoutTest","testLogout","TC-24: Kijelentkezés",""
"passed","Fri Oct 08 10:53:01 GMT 2021","Fri Oct 08 10:53:46 GMT 2021","45088","","Bejelentkezés","","Login.LoginTest","testLoginEmptyEmail","TC-6: Bejelentkezés; üres e-mail cím mezővel",""
"passed","Fri Oct 08 10:53:46 GMT 2021","Fri Oct 08 10:54:33 GMT 2021","46359","","Bejelentkezés","","Login.LoginTest","testLoginWrongPassword","TC-9: Bejelenetkezés; rossz jelszóval",""
"passed","Fri Oct 08 10:56:07 GMT 2021","Fri Oct 08 10:56:52 GMT 2021","45452","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithUsedEmail","TC-3: Regisztráció; már használatban lévő E-mail címmel",""
"skipped","Fri Oct 08 10:56:52 GMT 2021","Fri Oct 08 10:56:52 GMT 2021","0","","Regisztráció","","Registration.RegistrationTest","testingValidRegistration","TC-1: Regisztráció; helyes adatokkal",""
"passed","Fri Oct 08 10:55:19 GMT 2021","Fri Oct 08 10:56:07 GMT 2021","47406","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithUsedNick","TC-2: Regisztráció; már létező Nicknévvel",""
"passed","Fri Oct 08 10:51:28 GMT 2021","Fri Oct 08 10:52:16 GMT 2021","47452","","Bejelentkezés","","Login.LoginTest","testLogin","TC-5: Bejelentkezés; helyes adatokkal",""
"passed","Fri Oct 08 10:48:56 GMT 2021","Fri Oct 08 10:50:00 GMT 2021","64119","","Adatkezelési nyilatkozat használata","","PrivacyAndPolicy.PrivacyAndPolicyTest","testAcceptCookies","TC-11: Adatkezelési nyilatkozat használata; Sütik elfogadása",""
"skipped","Fri Oct 08 10:48:56 GMT 2021","Fri Oct 08 10:48:56 GMT 2021","1","","Adatkezelési nyilatkozat használata","","PrivacyAndPolicy.PrivacyAndPolicyTest","testPrivacyTitles","TC-10: Adatkezelési nyilatkozat használata",""
"passed","Fri Oct 08 10:56:52 GMT 2021","Fri Oct 08 10:57:38 GMT 2021","45457","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithoutAcceptingTerms","TC-4: Regisztráció; nem bepipált Használati feltételekkel",""
"passed","Fri Oct 08 10:54:33 GMT 2021","Fri Oct 08 10:55:19 GMT 2021","46753","","Bejelentkezés","","Login.LoginTest","testLoginWrongEmail","TC-8: Bejelentkezés; rossz e-mail címmel",""
"passed","Fri Oct 08 10:52:16 GMT 2021","Fri Oct 08 10:53:01 GMT 2021","45473","","Bejelentkezés","","Login.LoginTest","testLoginEmptyPassword","TC-7: Bejelentkezés; üres jelszó mezővel",""
