"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 08 16:20:54 GMT 2021","Fri Oct 08 16:22:11 GMT 2021","77094","","Adat vagy adatok törlése","","DeleteDetails.DeleteDetailsTest","testRemovingDetails","TC-22: Adatok törlése; Profil adatainak törlése",""
"passed","Fri Oct 08 16:35:26 GMT 2021","Fri Oct 08 16:36:16 GMT 2021","49398","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithUsedEmail","TC-3: Regisztráció; már használatban lévő E-mail címmel",""
"passed","Fri Oct 08 16:32:41 GMT 2021","Fri Oct 08 16:33:30 GMT 2021","48892","","Meglévő adat módosítás","","ChangeDetails.ChangeDetailsTest","testingChanges","TC-21: Meglévő adat módosítása; Profil szerkesztése",""
"passed","Fri Oct 08 16:22:11 GMT 2021","Fri Oct 08 16:22:54 GMT 2021","43231","","Adatkezelési nyilatkozat használata","","PrivacyAndPolicy.PrivacyAndPolicyTest","testAcceptCookies","TC-11: Adatkezelési nyilatkozat használata; Sütik elfogadása",""
"passed","Fri Oct 08 16:27:00 GMT 2021","Fri Oct 08 16:27:49 GMT 2021","49466","","Ismételt és sorozatos adatbevitel adatforrásból","","AddDetailsFromDataSource.AddDetailsFromDataSourceTest","testAddingDetails","TC-20: Ismételt és sorozatos adatbevitel adatforrásból; Profil kitöltése",""
"passed","Fri Oct 08 16:23:43 GMT 2021","Fri Oct 08 16:24:30 GMT 2021","47338","","Adatok listázása","","ListingDatas.ListingDatasTest","listingVideos","TC-13: Adatok listázása; Videók",""
"passed","Fri Oct 08 16:24:06 GMT 2021","Fri Oct 08 16:24:51 GMT 2021","45039","","Bejelentkezés","","Login.LoginTest","testLoginWrongEmail","TC-8: Bejelentkezés; rossz e-mail címmel",""
"skipped","Fri Oct 08 16:22:11 GMT 2021","Fri Oct 08 16:22:11 GMT 2021","0","","Adatkezelési nyilatkozat használata","","PrivacyAndPolicy.PrivacyAndPolicyTest","testPrivacyTitles","TC-10: Adatkezelési nyilatkozat használata",""
"passed","Fri Oct 08 16:28:39 GMT 2021","Fri Oct 08 16:29:28 GMT 2021","48444","","Új adat bevitel","","NewDataWithSearch.NewDataWithSearchTest","testSearch","TC-18: Új adat bevitel; Keresés helyének validálásával",""
"passed","Fri Oct 08 16:21:49 GMT 2021","Fri Oct 08 16:22:34 GMT 2021","45864","","Bejelentkezés","","Login.LoginTest","testLoginEmptyPassword","TC-7: Bejelentkezés; üres jelszó mezővel",""
"passed","Fri Oct 08 16:24:30 GMT 2021","Fri Oct 08 16:25:23 GMT 2021","52443","","Adatok listázása","","ListingDatas.ListingDatasTest","listingKnowledgeBase","TC-15: Adatok listázása; Tudástár",""
"passed","Fri Oct 08 16:20:54 GMT 2021","Fri Oct 08 16:21:48 GMT 2021","54391","","Bejelentkezés","","Login.LoginTest","testLogin","TC-5: Bejelentkezés; helyes adatokkal",""
"skipped","Fri Oct 08 16:36:16 GMT 2021","Fri Oct 08 16:36:16 GMT 2021","0","","Regisztráció","","Registration.RegistrationTest","testingValidRegistration","TC-1: Regisztráció; helyes adatokkal",""
"passed","Fri Oct 08 16:23:19 GMT 2021","Fri Oct 08 16:24:05 GMT 2021","46473","","Bejelentkezés","","Login.LoginTest","testLoginWrongPassword","TC-9: Bejelenetkezés; rossz jelszóval",""
"passed","Fri Oct 08 16:26:11 GMT 2021","Fri Oct 08 16:27:00 GMT 2021","48783","","Adatok listázása","","ListingDatas.ListingDatasTest","listingForum","TC-14: Adatok listázása; Társalgó",""
"passed","Fri Oct 08 16:22:54 GMT 2021","Fri Oct 08 16:23:43 GMT 2021","48330","","Adatok listázása","","ListingDatas.ListingDatasTest","listingArticles","TC-16: Adatok listázása; Cikkek",""
"passed","Fri Oct 08 16:36:16 GMT 2021","Fri Oct 08 16:37:01 GMT 2021","45269","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithoutAcceptingTerms","TC-4: Regisztráció; nem bepipált Használati feltételekkel",""
"passed","Fri Oct 08 16:33:30 GMT 2021","Fri Oct 08 16:34:39 GMT 2021","69752","","Adatok lementése felületről ","","SaveToTxt.SaveToTxtTest","saveToTxtTest","TC-23: Adatok lementése felületről; Elérhető videók listázása",""
"passed","Fri Oct 08 16:25:23 GMT 2021","Fri Oct 08 16:26:11 GMT 2021","48617","","Adatok listázása","","ListingDatas.ListingDatasTest","listingNews","TC-12: Adatok listázása; Hírek",""
"passed","Fri Oct 08 16:22:34 GMT 2021","Fri Oct 08 16:23:19 GMT 2021","44653","","Bejelentkezés","","Login.LoginTest","testLoginEmptyEmail","TC-6: Bejelentkezés; üres e-mail cím mezővel",""
"passed","Fri Oct 08 16:34:39 GMT 2021","Fri Oct 08 16:35:26 GMT 2021","46926","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithUsedNick","TC-2: Regisztráció; már létező Nicknévvel",""
"passed","Fri Oct 08 16:30:18 GMT 2021","Fri Oct 08 16:32:41 GMT 2021","143092","","Több oldalas lista bejárása ","","MultiPageList.MultiPageListTest","multiPageTest","TC-17: Több oldalas lista bejárása",""
"passed","Fri Oct 08 16:27:49 GMT 2021","Fri Oct 08 16:28:39 GMT 2021","50020","","Új adat bevitel","","NewDataWithSearch.NewDataWithSearchTest","testWrongSearch","TC-19: Új adat bevitel; Invalid keresési hely validálásával",""
"passed","Fri Oct 08 16:29:28 GMT 2021","Fri Oct 08 16:30:18 GMT 2021","49725","","Kijelentkezés","","Logout.LogoutTest","testLogout","TC-24: Kijelentkezés",""
