"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 11 11:29:51 GMT 2021","Mon Oct 11 11:31:02 GMT 2021","71657","","Adatok lementése felületről ","","SaveToTxt.SaveToTxtTest","saveToTxtTest","TC-23: Adatok lementése felületről; Elérhető videók listázása",""
"passed","Mon Oct 11 11:19:27 GMT 2021","Mon Oct 11 11:20:24 GMT 2021","57080","","Új adat bevitel","","NewDataWithSearch.NewDataWithSearchTest","testWrongSearch","TC-19: Új adat bevitel; Invalid keresési hely validálásával",""
"passed","Mon Oct 11 11:21:15 GMT 2021","Mon Oct 11 11:22:43 GMT 2021","88425","","Kijelentkezés","","Logout.LogoutTest","testLogout","TC-24: Kijelentkezés",""
"passed","Mon Oct 11 11:20:24 GMT 2021","Mon Oct 11 11:21:15 GMT 2021","50918","","Új adat bevitel","","NewDataWithSearch.NewDataWithSearchTest","testSearch","TC-18: Új adat bevitel; Keresés helyének validálásával",""
"passed","Mon Oct 11 11:15:22 GMT 2021","Mon Oct 11 11:16:12 GMT 2021","49543","","Adatok listázása","","ListingDatas.ListingDatasTest","listingVideos","TC-13: Adatok listázása; Videók",""
"passed","Mon Oct 11 11:31:48 GMT 2021","Mon Oct 11 11:32:34 GMT 2021","46051","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithUsedEmail","TC-3: Regisztráció; már használatban lévő E-mail címmel",""
"passed","Mon Oct 11 11:12:18 GMT 2021","Mon Oct 11 11:13:43 GMT 2021","85210","","Adat vagy adatok törlése","","DeleteDetails.DeleteDetailsTest","testRemovingDetails","TC-22: Adatok törlése; Profil adatainak törlése",""
"passed","Mon Oct 11 11:29:05 GMT 2021","Mon Oct 11 11:29:51 GMT 2021","45456","","Bejelentkezés","","Login.LoginTest","testLoginWrongEmail","TC-8: Bejelentkezés; rossz e-mail címmel",""
"passed","Mon Oct 11 11:26:01 GMT 2021","Mon Oct 11 11:26:48 GMT 2021","46542","","Bejelentkezés","","Login.LoginTest","testLogin","TC-5: Bejelentkezés; helyes adatokkal",""
"passed","Mon Oct 11 11:22:43 GMT 2021","Mon Oct 11 11:25:13 GMT 2021","149571","","Több oldalas lista bejárása ","","MultiPageList.MultiPageListTest","multiPageTest","TC-17: Több oldalas lista bejárása",""
"skipped","Mon Oct 11 11:32:34 GMT 2021","Mon Oct 11 11:32:34 GMT 2021","0","","Regisztráció","","Registration.RegistrationTest","testingValidRegistration","TC-1: Regisztráció; helyes adatokkal",""
"passed","Mon Oct 11 11:25:13 GMT 2021","Mon Oct 11 11:26:01 GMT 2021","48268","","Meglévő adat módosítás","","ChangeDetails.ChangeDetailsTest","testingChanges","TC-21: Meglévő adat módosítása; Profil szerkesztése",""
"passed","Mon Oct 11 11:18:37 GMT 2021","Mon Oct 11 11:19:27 GMT 2021","49578","","Ismételt és sorozatos adatbevitel adatforrásból","","AddDetailsFromDataSource.AddDetailsFromDataSourceTest","testAddingDetails","TC-20: Ismételt és sorozatos adatbevitel adatforrásból; Profil kitöltése",""
"passed","Mon Oct 11 11:32:34 GMT 2021","Mon Oct 11 11:33:19 GMT 2021","45721","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithoutAcceptingTerms","TC-4: Regisztráció; nem bepipált Használati feltételekkel",""
"passed","Mon Oct 11 11:28:19 GMT 2021","Mon Oct 11 11:29:05 GMT 2021","46725","","Bejelentkezés","","Login.LoginTest","testLoginWrongPassword","TC-9: Bejelenetkezés; rossz jelszóval",""
"passed","Mon Oct 11 11:16:12 GMT 2021","Mon Oct 11 11:17:00 GMT 2021","48657","","Adatok listázása","","ListingDatas.ListingDatasTest","listingKnowledgeBase","TC-15: Adatok listázása; Tudástár",""
"passed","Mon Oct 11 11:31:02 GMT 2021","Mon Oct 11 11:31:48 GMT 2021","45286","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithUsedNick","TC-2: Regisztráció; már létező Nicknévvel",""
"skipped","Mon Oct 11 11:13:44 GMT 2021","Mon Oct 11 11:13:44 GMT 2021","0","","Adatkezelési nyilatkozat használata","","PrivacyAndPolicy.PrivacyAndPolicyTest","testPrivacyTitles","TC-10: Adatkezelési nyilatkozat használata",""
"passed","Mon Oct 11 11:13:44 GMT 2021","Mon Oct 11 11:14:27 GMT 2021","43305","","Adatkezelési nyilatkozat használata","","PrivacyAndPolicy.PrivacyAndPolicyTest","testAcceptCookies","TC-11: Adatkezelési nyilatkozat használata; Sütik elfogadása",""
"passed","Mon Oct 11 11:27:34 GMT 2021","Mon Oct 11 11:28:19 GMT 2021","44991","","Bejelentkezés","","Login.LoginTest","testLoginEmptyEmail","TC-6: Bejelentkezés; üres e-mail cím mezővel",""
"passed","Mon Oct 11 11:14:27 GMT 2021","Mon Oct 11 11:15:22 GMT 2021","55109","","Adatok listázása","","ListingDatas.ListingDatasTest","listingArticles","TC-16: Adatok listázása; Cikkek",""
"passed","Mon Oct 11 11:17:49 GMT 2021","Mon Oct 11 11:18:37 GMT 2021","48667","","Adatok listázása","","ListingDatas.ListingDatasTest","listingForum","TC-14: Adatok listázása; Társalgó",""
"passed","Mon Oct 11 11:26:48 GMT 2021","Mon Oct 11 11:27:34 GMT 2021","45928","","Bejelentkezés","","Login.LoginTest","testLoginEmptyPassword","TC-7: Bejelentkezés; üres jelszó mezővel",""
"passed","Mon Oct 11 11:17:00 GMT 2021","Mon Oct 11 11:17:49 GMT 2021","48285","","Adatok listázása","","ListingDatas.ListingDatasTest","listingNews","TC-12: Adatok listázása; Hírek",""
