"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Oct 08 12:18:22 GMT 2021","Fri Oct 08 12:18:22 GMT 2021","0","","Regisztráció","","Registration.RegistrationTest","testingValidRegistration","TC-1: Regisztráció; helyes adatokkal",""
"passed","Fri Oct 08 12:14:37 GMT 2021","Fri Oct 08 12:15:22 GMT 2021","44336","","Bejelentkezés","","Login.LoginTest","testLoginEmptyEmail","TC-6: Bejelentkezés; üres e-mail cím mezővel",""
"broken","Fri Oct 08 12:11:32 GMT 2021","Fri Oct 08 12:12:18 GMT 2021","46741","","Kijelentkezés","","Logout.LogoutTest","testLogout","TC-24: Kijelentkezés",""
"passed","Fri Oct 08 12:10:42 GMT 2021","Fri Oct 08 12:11:32 GMT 2021","49311","","Ismételt és sorozatos adatbevitel adatforrásból","","AddDetailsFromDataSource.AddDetailsFromDataSourceTest","testAddingDetails","TC-20: Ismételt és sorozatos adatbevitel adatforrásból; Profil kitöltése",""
"passed","Fri Oct 08 12:15:22 GMT 2021","Fri Oct 08 12:16:08 GMT 2021","45971","","Bejelentkezés","","Login.LoginTest","testLoginWrongPassword","TC-9: Bejelenetkezés; rossz jelszóval",""
"passed","Fri Oct 08 12:18:22 GMT 2021","Fri Oct 08 12:19:07 GMT 2021","44827","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithoutAcceptingTerms","TC-4: Regisztráció; nem bepipált Használati feltételekkel",""
"passed","Fri Oct 08 12:08:42 GMT 2021","Fri Oct 08 12:10:00 GMT 2021","77694","","Adat vagy adatok törlése","","DeleteDetails.DeleteDetailsTest","testRemovingDetails","TC-22: Adatok törlése; Profil adatainak törlése",""
"passed","Fri Oct 08 12:12:19 GMT 2021","Fri Oct 08 12:13:07 GMT 2021","48656","","Meglévő adat módosítás","","ChangeDetails.ChangeDetailsTest","testingChanges","TC-21: Meglévő adat módosítása; Profil szerkesztése",""
"passed","Fri Oct 08 12:10:00 GMT 2021","Fri Oct 08 12:10:42 GMT 2021","42625","","Adatkezelési nyilatkozat használata","","PrivacyAndPolicy.PrivacyAndPolicyTest","testAcceptCookies","TC-11: Adatkezelési nyilatkozat használata; Sütik elfogadása",""
"passed","Fri Oct 08 12:16:08 GMT 2021","Fri Oct 08 12:16:52 GMT 2021","44711","","Bejelentkezés","","Login.LoginTest","testLoginWrongEmail","TC-8: Bejelentkezés; rossz e-mail címmel",""
"passed","Fri Oct 08 12:17:37 GMT 2021","Fri Oct 08 12:18:22 GMT 2021","45027","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithUsedEmail","TC-3: Regisztráció; már használatban lévő E-mail címmel",""
"passed","Fri Oct 08 12:13:52 GMT 2021","Fri Oct 08 12:14:37 GMT 2021","44786","","Bejelentkezés","","Login.LoginTest","testLoginEmptyPassword","TC-7: Bejelentkezés; üres jelszó mezővel",""
"passed","Fri Oct 08 12:13:07 GMT 2021","Fri Oct 08 12:13:52 GMT 2021","45264","","Bejelentkezés","","Login.LoginTest","testLogin","TC-5: Bejelentkezés; helyes adatokkal",""
"passed","Fri Oct 08 12:16:52 GMT 2021","Fri Oct 08 12:17:37 GMT 2021","44596","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithUsedNick","TC-2: Regisztráció; már létező Nicknévvel",""
"skipped","Fri Oct 08 12:10:00 GMT 2021","Fri Oct 08 12:10:00 GMT 2021","0","","Adatkezelési nyilatkozat használata","","PrivacyAndPolicy.PrivacyAndPolicyTest","testPrivacyTitles","TC-10: Adatkezelési nyilatkozat használata",""
