"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 08 10:41:08 GMT 2021","Fri Oct 08 10:41:54 GMT 2021","45271","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithUsedNick","TC-2: Regisztráció; már létező Nicknévvel",""
"passed","Fri Oct 08 10:37:19 GMT 2021","Fri Oct 08 10:38:06 GMT 2021","46834","","Bejelentkezés","","Login.LoginTest","testLogin","TC-5: Bejelentkezés; helyes adatokkal",""
"passed","Fri Oct 08 10:41:54 GMT 2021","Fri Oct 08 10:42:41 GMT 2021","47632","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithUsedEmail","TC-3: Regisztráció; már használatban lévő E-mail címmel",""
"passed","Fri Oct 08 10:39:37 GMT 2021","Fri Oct 08 10:40:23 GMT 2021","46152","","Bejelentkezés","","Login.LoginTest","testLoginWrongPassword","TC-9: Bejelenetkezés; rossz jelszóval",""
"skipped","Fri Oct 08 10:42:41 GMT 2021","Fri Oct 08 10:42:41 GMT 2021","0","","Regisztráció","","Registration.RegistrationTest","testingValidRegistration","TC-1: Regisztráció; helyes adatokkal",""
"passed","Fri Oct 08 10:40:23 GMT 2021","Fri Oct 08 10:41:08 GMT 2021","45530","","Bejelentkezés","","Login.LoginTest","testLoginWrongEmail","TC-8: Bejelentkezés; rossz e-mail címmel",""
"passed","Fri Oct 08 10:38:06 GMT 2021","Fri Oct 08 10:38:52 GMT 2021","45474","","Bejelentkezés","","Login.LoginTest","testLoginEmptyPassword","TC-7: Bejelentkezés; üres jelszó mezővel",""
"passed","Fri Oct 08 10:36:29 GMT 2021","Fri Oct 08 10:37:19 GMT 2021","49801","","Adatkezelési nyilatkozat használata","","PrivacyAndPolicy.PrivacyAndPolicyTest","testAcceptCookies","TC-11: Adatkezelési nyilatkozat használata; Sütik elfogadása",""
"skipped","Fri Oct 08 10:36:29 GMT 2021","Fri Oct 08 10:36:29 GMT 2021","2","","Adatkezelési nyilatkozat használata","","PrivacyAndPolicy.PrivacyAndPolicyTest","testPrivacyTitles","TC-10: Adatkezelési nyilatkozat használata",""
"passed","Fri Oct 08 10:42:41 GMT 2021","Fri Oct 08 10:43:27 GMT 2021","45343","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithoutAcceptingTerms","TC-4: Regisztráció; nem bepipált Használati feltételekkel",""
"passed","Fri Oct 08 10:38:52 GMT 2021","Fri Oct 08 10:39:37 GMT 2021","45180","","Bejelentkezés","","Login.LoginTest","testLoginEmptyEmail","TC-6: Bejelentkezés; üres e-mail cím mezővel",""
