"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 08 16:16:46 GMT 2021","Fri Oct 08 16:17:57 GMT 2021","70942","","Adatok lementése felületről ","","SaveToTxt.SaveToTxtTest","saveToTxtTest","TC-23: Adatok lementése felületről; Elérhető videók listázása",""
"passed","Fri Oct 08 16:07:53 GMT 2021","Fri Oct 08 16:09:20 GMT 2021","87171","","Kijelentkezés","","Logout.LogoutTest","testLogout","TC-24: Kijelentkezés",""
"skipped","Fri Oct 08 16:00:38 GMT 2021","Fri Oct 08 16:00:38 GMT 2021","0","","Adatkezelési nyilatkozat használata","","PrivacyAndPolicy.PrivacyAndPolicyTest","testPrivacyTitles","TC-10: Adatkezelési nyilatkozat használata",""
"passed","Fri Oct 08 16:00:38 GMT 2021","Fri Oct 08 16:01:22 GMT 2021","43245","","Adatkezelési nyilatkozat használata","","PrivacyAndPolicy.PrivacyAndPolicyTest","testAcceptCookies","TC-11: Adatkezelési nyilatkozat használata; Sütik elfogadása",""
"passed","Fri Oct 08 16:06:13 GMT 2021","Fri Oct 08 16:07:03 GMT 2021","50229","","Új adat bevitel","","NewDataWithSearch.NewDataWithSearchTest","testWrongSearch","TC-19: Új adat bevitel; Invalid keresési hely validálásával",""
"passed","Fri Oct 08 16:19:28 GMT 2021","Fri Oct 08 16:20:15 GMT 2021","47593","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithoutAcceptingTerms","TC-4: Regisztráció; nem bepipált Használati feltételekkel",""
"passed","Fri Oct 08 16:01:22 GMT 2021","Fri Oct 08 16:02:09 GMT 2021","47657","","Adatok listázása","","ListingDatas.ListingDatasTest","listingArticles","TC-16: Adatok listázása; Cikkek",""
"passed","Fri Oct 08 16:14:26 GMT 2021","Fri Oct 08 16:15:15 GMT 2021","48882","","Bejelentkezés","","Login.LoginTest","testLoginEmptyEmail","TC-6: Bejelentkezés; üres e-mail cím mezővel",""
"passed","Fri Oct 08 16:07:03 GMT 2021","Fri Oct 08 16:07:53 GMT 2021","49864","","Új adat bevitel","","NewDataWithSearch.NewDataWithSearchTest","testSearch","TC-18: Új adat bevitel; Keresés helyének validálásával",""
"skipped","Fri Oct 08 16:19:28 GMT 2021","Fri Oct 08 16:19:28 GMT 2021","0","","Regisztráció","","Registration.RegistrationTest","testingValidRegistration","TC-1: Regisztráció; helyes adatokkal",""
"passed","Fri Oct 08 15:59:22 GMT 2021","Fri Oct 08 16:00:38 GMT 2021","76536","","Adat vagy adatok törlése","","DeleteDetails.DeleteDetailsTest","testRemovingDetails","TC-22: Adatok törlése; Profil adatainak törlése",""
"passed","Fri Oct 08 16:17:57 GMT 2021","Fri Oct 08 16:18:42 GMT 2021","45055","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithUsedNick","TC-2: Regisztráció; már létező Nicknévvel",""
"passed","Fri Oct 08 16:05:23 GMT 2021","Fri Oct 08 16:06:13 GMT 2021","49572","","Ismételt és sorozatos adatbevitel adatforrásból","","AddDetailsFromDataSource.AddDetailsFromDataSourceTest","testAddingDetails","TC-20: Ismételt és sorozatos adatbevitel adatforrásból; Profil kitöltése",""
"passed","Fri Oct 08 16:12:53 GMT 2021","Fri Oct 08 16:13:40 GMT 2021","46744","","Bejelentkezés","","Login.LoginTest","testLogin","TC-5: Bejelentkezés; helyes adatokkal",""
"passed","Fri Oct 08 16:18:42 GMT 2021","Fri Oct 08 16:19:28 GMT 2021","45475","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithUsedEmail","TC-3: Regisztráció; már használatban lévő E-mail címmel",""
"passed","Fri Oct 08 16:04:34 GMT 2021","Fri Oct 08 16:05:23 GMT 2021","48755","","Adatok listázása","","ListingDatas.ListingDatasTest","listingForum","TC-14: Adatok listázása; Társalgó",""
"broken","Fri Oct 08 16:11:46 GMT 2021","Fri Oct 08 16:12:53 GMT 2021","67644","","Meglévő adat módosítás","","ChangeDetails.ChangeDetailsTest","testingChanges","TC-21: Meglévő adat módosítása; Profil szerkesztése",""
"passed","Fri Oct 08 16:13:40 GMT 2021","Fri Oct 08 16:14:26 GMT 2021","45553","","Bejelentkezés","","Login.LoginTest","testLoginEmptyPassword","TC-7: Bejelentkezés; üres jelszó mezővel",""
"passed","Fri Oct 08 16:15:15 GMT 2021","Fri Oct 08 16:16:01 GMT 2021","46115","","Bejelentkezés","","Login.LoginTest","testLoginWrongPassword","TC-9: Bejelenetkezés; rossz jelszóval",""
"passed","Fri Oct 08 16:02:57 GMT 2021","Fri Oct 08 16:03:46 GMT 2021","49024","","Adatok listázása","","ListingDatas.ListingDatasTest","listingKnowledgeBase","TC-15: Adatok listázása; Tudástár",""
"passed","Fri Oct 08 16:03:46 GMT 2021","Fri Oct 08 16:04:34 GMT 2021","48684","","Adatok listázása","","ListingDatas.ListingDatasTest","listingNews","TC-12: Adatok listázása; Hírek",""
"passed","Fri Oct 08 16:16:01 GMT 2021","Fri Oct 08 16:16:46 GMT 2021","45378","","Bejelentkezés","","Login.LoginTest","testLoginWrongEmail","TC-8: Bejelentkezés; rossz e-mail címmel",""
"passed","Fri Oct 08 16:09:20 GMT 2021","Fri Oct 08 16:11:46 GMT 2021","145663","","Több oldalas lista bejárása ","","MultiPageList.MultiPageListTest","multiPageTest","TC-17: Több oldalas lista bejárása",""
"passed","Fri Oct 08 16:02:09 GMT 2021","Fri Oct 08 16:02:57 GMT 2021","47442","","Adatok listázása","","ListingDatas.ListingDatasTest","listingVideos","TC-13: Adatok listázása; Videók",""
